id,name,streetaddress,latlng,postal,province,lic_status,citytown,lic_number,distance,tool_tip_id,lic_first_issue,lic_conditions,applicant_legal_name,app_streetaddress,app_streetaddress2,app_unitnumber,app_citytown,app_prov,app_postal,app_pci,phone,fax,website,email,primary_contact,management,lic_other_information,careservices,capacity,sprinklers_all,sprinklers_nsuites,sprinklers_locations,lic_conditions_details,documents,show_reports,revoked_w_notes,previously_known_as
6107de5c80ead,147 Elder Street Inc.,147 Elder Street,"43.7628856,-79.4541054",M3H 5G9,null,Issued,Toronto,T0179,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de63a5c65,Red Maple Assistive Living,25 Windermere Court,"43.6807797,-79.7840758",L6X 2L5,null,Issued with conditions,Brampton,T0469,null,123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de65e6b85,Queens Estate Retirement Residence,265 Queens Dr,"43.7072091,-79.504315",M6L 3E2,null,Issued,Toronto,T0539,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de567540b,Queens Village for Seniors,518 Queens Avenue,"42.9894549,-81.2360087",N6B 1Y7,null,Issued,London,S0173,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de530bd03,Queenston Place Retirement Residence,6440 Valley Way,"43.0974586,-79.1021043",L2E 7E3,null,Issued,Niagara Falls,S0045,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de68ccad2,Queensview Retirement Community,70 King Edward Street,"43.1890725,-80.3862633",N3L 0C1,null,Issued,Paris,S0504,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de56c11fa,Queensway Retirement Community,100 Queen Street E.,"43.4349656,-81.50347",N0M 1X0,null,Issued,Hensall,S0411,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de4f543b6,Queenswood Villa,370 Kennedy Lane  E.,"45.4788992,-75.5031709",K1E 3X5,null,Issued,Orleans,N0547,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de641ea67,Quinte Gardens Retirement Residence,30 College Street W.,"44.176672,-77.3926407",K8P 0A9,null,Issued,Belleville,N0476,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de65b64a8,Raglan Village Retirement,89 Raglan Street,"44.5014319,-80.1999463",L9Y 0B2,null,Issued,Collingwood,N0009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6801512,Rayoak Place,1340 York Mills Road,"43.7632297,-79.3200614",M3A 3R1,null,Issued,Toronto,T0267,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5711edf,Red Oak Retirement Residence,3501 Campeau Drive,"45.3160507,-75.9006447",K2K 0C1,null,Issued,Kanata,N0190,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,"[{""name"":""The Royale Kanata"",""until"":""May 1, 2015""}]"
6107de4e407c1,Promenades Seniors' Suites,150 Rossignol Dr,"45.4898904,-75.5033508",K4A 0N2,null,Issued,Orleans,N0519,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de63df8f0,Red Oak Villa,20 Ste. Anne Road,"46.4955337,-80.9967673",P3C 5N4,null,Issued,Sudbury,N0443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5bcd1e1,Redstacks Retirement Home,303 Niagara Boulevard,"42.9180691,-78.9116296",L2A 3H1,null,Issued,Fort Erie,S0472,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de54698c3,Redwoods Retirement,2604 Draper Avenue,"45.3422572,-75.7892905",K2H 7A1,null,Issued,Ottawa,N0436,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5638ea3,Regency Retirement Community,66 Dorset Street E.,"43.9507895,-78.2880376",L1A 1E3,null,Issued,Port Hope,T0488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6441c0c,Regency Retirement Residence,91 Concession Street,"44.4239075,-78.2671799",K0L 2H0,null,Issued with conditions,Lakefield,T0347,null,123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
